variant,win_rate,profit_factor,max_drawdown,sharpe,trades,objective
baseline,1.0,999.0,0.0,7.636549737813444,4,703.1182748689067
breakeven_2pct,1.0,999.0,0.0,7.636549737813444,4,703.1182748689067
partial_50_at_3pct,1.0,999.0,0.0,7.636549737813444,4,703.1182748689067
partial_plus_timeexit_2h,0.75,666.6976574024349,1.720886123161361e-05,1.7440135624289563,4,467.56033254519633
